Date,Invoice No,Item Code,Item Name,Quantity Sold,Unit Price,Total Sale Value,Customer ID,Salesperson,Channel
1/6/2025,000001,000005,Apricots - 1 Kg Pack,3,1900,5700,000002,Sarah,Retail 
1/6/2025,000001,000001,Raisin - 1Kg Pack,3,1500,4500,000002,Sarah,Retail 
1/6/2025,000001,000015,Paper board 20x30,2,2900,5800,000002,Sarah,Retail 
1/6/2025,000001,000003,Fig - 1Kg Pack,2,1700,3400,000002,Sarah,Retail 
1/6/2025,000001,000002,Peach - 1 KG Pack,4,1600,6400,000002,Sarah,Retail 
1/6/2025,000001,000004,Dates - 1 Kg Pack,10,1800,18000,000002,Sarah,Wholesales
1/6/2025,000001,000007,Café Mocha - 1 Pack Ready Mix,6,2100,12600,000002,Sarah,Wholesales
1/6/2025,000001,000006,Pear - 2Kg Pack,5,2000,10000,000002,Sarah,Wholesales
15/01/2025,000002,000005,Apricots - 1 Kg Pack,3,1900,5700,000014,Sarah,Retail 
15/01/2025,000002,000001,Raisin - 1Kg Pack,3,1500,4500,000014,Sarah,Retail 
15/01/2025,000002,000015,Paper board 20x30,2,2900,5800,000014,Sarah,Retail 
15/01/2025,000002,000003,Fig - 1Kg Pack,5,1700,8500,000014,Sarah,Retail 
15/01/2025,000002,000002,Peach - 1 KG Pack,4,1600,6400,000014,Sarah,Wholesales
15/01/2025,000002,000004,Dates - 1 Kg Pack,10,1800,18000,000014,Sarah,Wholesales
15/01/2025,000002,000007,Café Mocha - 1 Pack Ready Mix,10,2100,21000,000014,Sarah,Wholesales
15/01/2025,000002,000006,Pear - 2Kg Pack,5,2000,10000,000014,Sarah,Wholesales
15/01/2025,000003,000035,Iphone 11,2,1800,3600,000225,Sarah,Wholesales
17/01/2025,000004,000039,Repair Aircon/Phone Income - with Spare Parts,1,700000,700000,000010,Sarah,Retail 
17/01/2025,000004,000035,Iphone 11,1,2000000,2000000,000010,Sarah,Retail 
17/01/2025,000004,000067,"Samsung Smart TV 40""",10,600000,6000000,000010,Sarah,Retail 
18/01/2025,000005,000039,Repair Aircon/Phone Income - with Spare Parts,1,700000,700000,000010,Sarah,Retail 
18/01/2025,000005,000012,Speed Energy Drink 6 in 1 Pack,1,2600,2600,000010,Sarah,Retail 
18/01/2025,000005,000009,Rose Latte - 1 Pack Ready Mix,1,2300,2300,000010,Sarah,Retail 
18/01/2025,000005,000035,Iphone 11,2,2000000,4000000,000010,Sarah,Retail 
18/01/2025,000005,000067,"Samsung Smart TV 40""",10,600000,6000000,000010,Sarah,Retail 
19/01/2025,000006,000039,Repair Aircon/Phone Income - with Spare Parts,1,608.7,608.7,000225,Sarah,Retail 
19/01/2025,000006,000035,Iphone 11,1,1739.13,1739.13,000225,Sarah,Wholesales
19/01/2025,000006,000067,"Samsung Smart TV 40""",10,521.74,5217.4,000225,Sarah,Wholesales
19/01/2025,000007,,Sales,1,500000,500000,000010,Sarah,Wholesales
19/01/2025,000007,000039,Repair Aircon/Phone Income - with Spare Parts,1,700000,700000,000010,Sarah,Wholesales
19/01/2025,000007,000035,Iphone 11,1,2000000,2000000,000010,Sarah,Retail 
19/01/2025,000007,000067,"Samsung Smart TV 40""",10,600000,6000000,000010,Sarah,Retail 
20/01/2025,000008,000005,Apricots - 1 Kg Pack,3,1900,5700,000014,Sarah,Retail 
20/01/2025,000008,000001,Raisin - 1Kg Pack,3,1500,4500,000014,Sarah,Retail 
20/01/2025,000008,000015,Paper board 20x30,2,2900,5800,000014,Sarah,Retail 
20/01/2025,000008,000003,Fig - 1Kg Pack,2,1700,3400,000014,Sarah,Retail 
20/01/2025,000008,000002,Peach - 1 KG Pack,4,1600,6400,000014,Sarah,Retail 
20/01/2025,000008,000004,Dates - 1 Kg Pack,10,1800,18000,000014,Sarah,Retail 
20/01/2025,000008,000007,Café Mocha - 1 Pack Ready Mix,6,2100,12600,000014,Sarah,Retail 
20/01/2025,000008,000006,Pear - 2Kg Pack,5,2000,10000,000014,Sarah,Wholesales
21/01/2025,000009,,Sales for January,1,10000000,10000000,000015,Sarah,Wholesales
22/01/2025,000010,,Retail sales for Janurary,1,20000000,20000000,000162,Sarah,Wholesales
31/01/2025,000055,,retail sales for may,2,10250000,20500000,000191,Sarah,Wholesales
31/01/2025,000055,,whole sales for may,2,10500000,21000000,000191,Sarah,Retail 
31/01/2025,000055,,trading for may,2,13000000,26000000,000191,Sarah,Retail 
31/01/2025,000070,,iphone 12 pro for January batch,10,2000,20000,000226,Sarah,Retail 
2/2/2025,000011,,Retail sales for Feb,1,10000000,10000000,000077,Sarah,Retail 
2/2/2025,000011,,Wholesales for Feb,1,20000000,20000000,000077,Sarah,Retail 
2/2/2025,000011,,Trading for Feb,1,30000000,30000000,000077,Sarah,Retail 
2/4/2025,000012,000005,Apricots - 1 Kg Pack,3,1900,5700,000019,Sarah,Retail 
2/4/2025,000012,000001,Raisin - 1Kg Pack,3,1500,4500,000019,Sarah,Retail 
2/4/2025,000012,000015,Paper board 20x30,2,2900,5800,000019,Sarah,Retail 
2/4/2025,000012,000003,Fig - 1Kg Pack,2,1700,3400,000019,Sarah,Wholesales
2/4/2025,000012,000002,Peach - 1 KG Pack,4,1600,6400,000019,Sarah,Wholesales
2/4/2025,000012,000004,Dates - 1 Kg Pack,10,1800,18000,000019,Sarah,Wholesales
2/4/2025,000012,000007,Café Mocha - 1 Pack Ready Mix,6,2100,12600,000019,Sarah,Wholesales
2/4/2025,000012,000006,Pear - 2Kg Pack,5,2000,10000,000019,Sarah,Retail 
2/5/2025,000027,000005,Apricots - 1 Kg Pack,10,1900,19000,000077,Sarah,Retail 
15/02/2025,000060,000036,Phone Cover,50,5000,250000,000216,Sarah,Retail 
15/02/2025,000060,000016,Oramin-C,50,50000,2500000,000216,Sarah,Retail 
15/02/2025,000060,000019,ZALORA Dress,50,80000,4000000,000216,Sarah,Retail 
15/02/2025,000060,000008,Hot Chocolate - 1 Pack Ready Mix,50,2200,110000,000216,Sarah,Retail 
15/02/2025,000060,000066,Honda cycle spare part,50,80000,4000000,000216,Sarah,Retail 
15/02/2025,000060,000051,Heavy Duty Non Inverter 5.2 HP,50,6500,325000,000216,Sarah,Retail 
15/02/2025,000090,000001,Raisin - 1Kg Pack,1,1500,1500,000229,Sarah,Retail 
15/02/2025,000090,000002,Peach - 1 KG Pack,1,1600,1600,000229,Sarah,Wholesales
17/02/2025,000033,000005,Apricots - 1 Kg Pack,2,1900,3800,000011,Sarah,Wholesales
17/02/2025,000033,000002,Peach - 1 KG Pack,5,1600,8000,000011,Sarah,Wholesales
17/02/2025,000047,000066,Honda cycle spare part,1,80000,80000,000171,Sarah,Wholesales
24/02/2025,000030,000011,Shark - 6 IN 1 PACK,1,2500,2500,000209,Sarah,Retail 
24/02/2025,000030,000008,Hot Chocolate - 1 Pack Ready Mix,1,2200,2200,000209,Sarah,Retail 
24/02/2025,000034,000005,Apricots - 1 Kg Pack,2,1900,3800,000222,Sarah,Retail 
24/02/2025,000034,000002,Peach - 1 KG Pack,5,1600,8000,000222,Sarah,Retail 
25/02/2025,000039,000005,Apricots - 1 Kg Pack,2,1900,3800,000004,Sarah,Retail 
25/02/2025,000039,000002,Peach - 1 KG Pack,5,1600,8000,000004,Sarah,Retail 
28/02/2025,000051,,trading for feb,1,1300000,1300000,000047,Sarah,Retail 
28/02/2025,000051,,retail sales for feb,1,1025000,1025000,000047,Sarah,Retail 
28/02/2025,000051,,whole sales for feb,1,5000000,5000000,000047,Sarah,Retail 
28/02/2025,000052,,trading for may,1,13000000,13000000,000024,Sarah,Wholesales
28/02/2025,000052,,retail sales for may,1,10250000,10250000,000024,Sarah,Wholesales
28/02/2025,000052,,whole sales for may,1,10500000,10500000,000024,Sarah,Wholesales
28/02/2025,000058,,retail sales for may,3,1020000,3060000,000144,Sarah,Wholesales
28/02/2025,000058,,whole sales for may,5,1050000,5250000,000144,Sarah,Retail 
28/02/2025,000058,,trading for may,2,1300000,2600000,000144,Sarah,Retail 
3/2/2025,000015,,trading for April,1,20000,20000,000226,Sarah,Retail 
3/2/2025,000015,,whole sales for April,1,10000,10000,000226,Sarah,Retail 
3/6/2025,000018,,whole sales for may,1,9000000,9000000,000017,Sarah,Retail 
3/7/2025,000037,000005,Apricots - 1 Kg Pack,2,1900,3800,000188,Sarah,Retail 
3/7/2025,000037,000002,Peach - 1 KG Pack,5,1600,8000,000188,Sarah,Retail 
3/8/2025,000053,,retail sales for may,1,10250000,10250000,000209,Sarah,Retail 
3/8/2025,000053,,whole sales for may,1,10500000,10500000,000209,Sarah,Retail 
3/8/2025,000053,,trading for may,1,13000000,13000000,000209,Sarah,Wholesales
3/8/2025,000091,000001,Raisin - 1Kg Pack ,3,2000,6000,000191,Sarah,Wholesales
3/8/2025,000091,000002,Peach - 1 KG Pack,10,1600,16000,000191,Sarah,Wholesales
3/8/2025,000092,000009,Rose Latte - 1 Pack Ready Mix,1,1.18,1.18,000227,Sarah,Wholesales
3/8/2025,000092,000015,Paper board 20x30,1,1.49,1.49,000227,Sarah,Retail 
3/8/2025,000092,000013,Pepsi - 6 pcs in 1 pack,1,1.38,1.38,000227,Sarah,Retail 
3/8/2025,000092,000007,Café Mocha - 1 Pack Ready Mix,1,1.08,1.08,000227,Sarah,Retail 
3/8/2025,000092,000014,Cola - 6 pcs in 1 Pack,1,1.44,1.44,000227,Sarah,Retail 
3/8/2025,000092,000010,Espresso - 1 Pack Ready Mix,1,1.23,1.23,000227,Sarah,Retail 
14/03/2025,000022,,retail for april,1,5000000,5000000,000013,Sarah,Retail 
15/03/2025,000063,000036,Phone Cover,1,500000,500000,000216,Sarah,Retail 
15/03/2025,000063,000016,Oramin-C,1,500000,500000,000216,Sarah,Retail 
15/03/2025,000063,000019,ZALORA Dress,1,800000,800000,000216,Sarah,Retail 
15/03/2025,000063,000008,Hot Chocolate - 1 Pack Ready Mix,1,800000,800000,000216,Sarah,Wholesales
16/03/2025,000040,000005,Apricots - 1 Kg Pack,2,1900,3800,000025,Sarah,Wholesales
16/03/2025,000040,000002,Peach - 1 KG Pack,5,1600,8000,000025,Sarah,Wholesales
20/03/2025,000031,000015,Paper board 20x30,1,2900,2900,000209,Sarah,Wholesales
20/03/2025,000031,000002,Peach - 1 KG Pack,1,1600,1600,000209,Sarah,Wholesales
20/03/2025,000031,000007,Café Mocha - 1 Pack Ready Mix,1,2100,2100,000209,Sarah,Wholesales
24/03/2025,000067,000036,Phone Cover,20,35000,700000,000160,Sarah,Wholesales
24/03/2025,000067,000016,Oramin-C 20 carter,20,500000,10000000,000160,Sarah,Wholesales
28/03/2025,000025,,wholesales for april,1,3000000,3000000,000009,Bob,Wholesales
30/03/2025,000069,,Medicine set for health care,500,120000,60000000,000156,Sarah,Wholesales
4/1/2025,000013,,retail sales for march,1,15000,15000,000225,Sarah,Wholesales
4/1/2025,000013,,whole sales for march,1,10000,10000,000225,Sarah,Wholesales
4/3/2025,000028,000014,Cola - 6 pcs in 1 Pack,10,2800,28000,000077,Sarah,Wholesales
4/4/2025,000050,000071,"SONY LED TV50""",1,800000,800000,000150,Sarah,Wholesales
4/9/2025,000035,000005,Apricots - 1 Kg Pack,2,1900,3800,000207,Sarah,Wholesales
4/9/2025,000035,000002,Peach - 1 KG Pack,5,1600,8000,000207,Sarah,Wholesales
4/9/2025,000036,000005,Apricots - 1 Kg Pack,2,1900,3800,000188,Sarah,Wholesales
